Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Item_normalized
7811,Ecuador,Cassava,2004,39602,2274.0,29799.84,22.33,cassava
7815,Ecuador,Plantains and others,2004,58351,2274.0,29799.84,22.04,plantains and others
7816,Ecuador,Plantains and others,2004,58351,2274.0,29799.84,17.73,plantains and others
7817,Ecuador,Plantains and others,2004,58351,2274.0,29799.84,22.33,plantains and others
7818,Ecuador,Potatoes,2004,71587,2274.0,29799.84,22.04,potatoes
7819,Ecuador,Potatoes,2004,71587,2274.0,29799.84,17.73,potatoes
7820,Ecuador,Potatoes,2004,71587,2274.0,29799.84,22.33,potatoes
7827,Ecuador,Soybeans,2004,16610,2274.0,29799.84,22.04,soybeans
7828,Ecuador,Soybeans,2004,16610,2274.0,29799.84,17.73,soybeans
7829,Ecuador,Soybeans,2004,16610,2274.0,29799.84,22.33,soybeans
7830,Ecuador,Sweet potatoes,2004,25760,2274.0,29799.84,22.04,sweet potatoes
7831,Ecuador,Sweet potatoes,2004,25760,2274.0,29799.84,17.73,sweet potatoes
7832,Ecuador,Sweet potatoes,2004,25760,2274.0,29799.84,22.33,sweet potatoes
7836,Ecuador,Cassava,2005,44199,2274.0,18391.23,21.82,cassava
7837,Ecuador,Cassava,2005,44199,2274.0,18391.23,17.67,cassava
7838,Ecuador,Cassava,2005,44199,2274.0,18391.23,22.21,cassava
7842,Ecuador,Plantains and others,2005,60846,2274.0,18391.23,21.82,plantains and others
7843,Ecuador,Plantains and others,2005,60846,2274.0,18391.23,17.67,plantains and others
7844,Ecuador,Plantains and others,2005,60846,2274.0,18391.23,22.21,plantains and others
7845,Ecuador,Potatoes,2005,69668,2274.0,18391.23,21.82,potatoes
7846,Ecuador,Potatoes,2005,69668,2274.0,18391.23,17.67,potatoes
7847,Ecuador,Potatoes,2005,69668,2274.0,18391.23,22.21,potatoes
7854,Ecuador,Soybeans,2005,19646,2274.0,18391.23,21.82,soybeans
7855,Ecuador,Soybeans,2005,19646,2274.0,18391.23,17.67,soybeans
7856,Ecuador,Soybeans,2005,19646,2274.0,18391.23,22.21,soybeans
7857,Ecuador,Sweet potatoes,2005,30654,2274.0,18391.23,21.82,sweet potatoes
7858,Ecuador,Sweet potatoes,2005,30654,2274.0,18391.23,17.67,sweet potatoes
7859,Ecuador,Sweet potatoes,2005,30654,2274.0,18391.23,22.21,sweet potatoes
7863,Ecuador,Cassava,2006,34279,2274.0,7953.42,22.09,cassava
7864,Ecuador,Cassava,2006,34279,2274.0,7953.42,17.6,cassava
7865,Ecuador,Cassava,2006,34279,2274.0,7953.42,22.31,cassava
7869,Ecuador,Plantains and others,2006,56123,2274.0,7953.42,22.09,plantains and others
7870,Ecuador,Plantains and others,2006,56123,2274.0,7953.42,17.6,plantains and others
7871,Ecuador,Plantains and others,2006,56123,2274.0,7953.42,22.31,plantains and others
7872,Ecuador,Potatoes,2006,69768,2274.0,7953.42,22.09,potatoes
7873,Ecuador,Potatoes,2006,69768,2274.0,7953.42,17.6,potatoes
7874,Ecuador,Potatoes,2006,69768,2274.0,7953.42,22.31,potatoes
7881,Ecuador,Soybeans,2006,11500,2274.0,7953.42,22.09,soybeans
7882,Ecuador,Soybeans,2006,11500,2274.0,7953.42,17.6,soybeans
7883,Ecuador,Soybeans,2006,11500,2274.0,7953.42,22.31,soybeans
7884,Ecuador,Sweet potatoes,2006,18750,2274.0,7953.42,22.09,sweet potatoes
7885,Ecuador,Sweet potatoes,2006,18750,2274.0,7953.42,17.6,sweet potatoes
7886,Ecuador,Sweet potatoes,2006,18750,2274.0,7953.42,22.31,sweet potatoes
7890,Ecuador,Cassava,2007,45107,2274.0,14156.16,21.68,cassava
7891,Ecuador,Cassava,2007,45107,2274.0,14156.16,17.44,cassava
7892,Ecuador,Cassava,2007,45107,2274.0,14156.16,21.99,cassava
7896,Ecuador,Plantains and others,2007,55969,2274.0,14156.16,21.68,plantains and others
7897,Ecuador,Plantains and others,2007,55969,2274.0,14156.16,17.44,plantains and others
7898,Ecuador,Plantains and others,2007,55969,2274.0,14156.16,21.99,plantains and others
7899,Ecuador,Potatoes,2007,68022,2274.0,14156.16,21.68,potatoes
7900,Ecuador,Potatoes,2007,68022,2274.0,14156.16,17.44,potatoes
7901,Ecuador,Potatoes,2007,68022,2274.0,14156.16,21.99,potatoes
7908,Ecuador,Soybeans,2007,17188,2274.0,14156.16,21.68,soybeans
7909,Ecuador,Soybeans,2007,17188,2274.0,14156.16,17.44,soybeans
7910,Ecuador,Soybeans,2007,17188,2274.0,14156.16,21.99,soybeans
7911,Ecuador,Sweet potatoes,2007,18824,2274.0,14156.16,21.68,sweet potatoes
7912,Ecuador,Sweet potatoes,2007,18824,2274.0,14156.16,17.44,sweet potatoes
7913,Ecuador,Sweet potatoes,2007,18824,2274.0,14156.16,21.99,sweet potatoes
7917,Ecuador,Cassava,2008,51231,2274.0,15396.14,21.72,cassava
7918,Ecuador,Cassava,2008,51231,2274.0,15396.14,17.16,cassava
7919,Ecuador,Cassava,2008,51231,2274.0,15396.14,21.89,cassava
7923,Ecuador,Plantains and others,2008,45571,2274.0,15396.14,21.72,plantains and others
7924,Ecuador,Plantains and others,2008,45571,2274.0,15396.14,17.16,plantains and others
7925,Ecuador,Plantains and others,2008,45571,2274.0,15396.14,21.89,plantains and others
7926,Ecuador,Potatoes,2008,61416,2274.0,15396.14,21.72,potatoes
7927,Ecuador,Potatoes,2008,61416,2274.0,15396.14,17.16,potatoes
7928,Ecuador,Potatoes,2008,61416,2274.0,15396.14,21.89,potatoes
7935,Ecuador,Soybeans,2008,16000,2274.0,15396.14,21.72,soybeans
7936,Ecuador,Soybeans,2008,16000,2274.0,15396.14,17.16,soybeans
7937,Ecuador,Soybeans,2008,16000,2274.0,15396.14,21.89,soybeans
7938,Ecuador,Sweet potatoes,2008,21244,2274.0,15396.14,21.72,sweet potatoes
7939,Ecuador,Sweet potatoes,2008,21244,2274.0,15396.14,17.16,sweet potatoes
7940,Ecuador,Sweet potatoes,2008,21244,2274.0,15396.14,21.89,sweet potatoes
7944,Ecuador,Cassava,2009,31191,2274.0,9666.87,22.01,cassava
7945,Ecuador,Cassava,2009,31191,2274.0,9666.87,17.76,cassava
7946,Ecuador,Cassava,2009,31191,2274.0,9666.87,22.42,cassava
7950,Ecuador,Plantains and others,2009,49631,2274.0,9666.87,22.01,plantains and others
7951,Ecuador,Plantains and others,2009,49631,2274.0,9666.87,17.76,plantains and others
7952,Ecuador,Plantains and others,2009,49631,2274.0,9666.87,22.42,plantains and others
7953,Ecuador,Potatoes,2009,58531,2274.0,9666.87,22.01,potatoes
7954,Ecuador,Potatoes,2009,58531,2274.0,9666.87,17.76,potatoes
7955,Ecuador,Potatoes,2009,58531,2274.0,9666.87,22.42,potatoes
7962,Ecuador,Soybeans,2009,16585,2274.0,9666.87,22.01,soybeans
7963,Ecuador,Soybeans,2009,16585,2274.0,9666.87,17.76,soybeans
7964,Ecuador,Soybeans,2009,16585,2274.0,9666.87,22.42,soybeans
7965,Ecuador,Sweet potatoes,2009,18947,2274.0,9666.87,22.01,sweet potatoes
7966,Ecuador,Sweet potatoes,2009,18947,2274.0,9666.87,17.76,sweet potatoes
7967,Ecuador,Sweet potatoes,2009,18947,2274.0,9666.87,22.42,sweet potatoes
7971,Ecuador,Cassava,2010,32033,2274.0,31637.12,21.98,cassava
7972,Ecuador,Cassava,2010,32033,2274.0,31637.12,17.79,cassava
7973,Ecuador,Cassava,2010,32033,2274.0,31637.12,22.3,cassava
7977,Ecuador,Plantains and others,2010,48375,2274.0,31637.12,21.98,plantains and others
7978,Ecuador,Plantains and others,2010,48375,2274.0,31637.12,17.79,plantains and others
7979,Ecuador,Plantains and others,2010,48375,2274.0,31637.12,22.3,plantains and others
7980,Ecuador,Potatoes,2010,87422,2274.0,31637.12,21.98,potatoes
7981,Ecuador,Potatoes,2010,87422,2274.0,31637.12,17.79,potatoes
7982,Ecuador,Potatoes,2010,87422,2274.0,31637.12,22.3,potatoes
7989,Ecuador,Soybeans,2010,16279,2274.0,31637.12,21.98,soybeans
7990,Ecuador,Soybeans,2010,16279,2274.0,31637.12,17.79,soybeans
7991,Ecuador,Soybeans,2010,16279,2274.0,31637.12,22.3,soybeans
7992,Ecuador,Sweet potatoes,2010,18963,2274.0,31637.12,21.98,sweet potatoes
7993,Ecuador,Sweet potatoes,2010,18963,2274.0,31637.12,17.79,sweet potatoes
7994,Ecuador,Sweet potatoes,2010,18963,2274.0,31637.12,22.3,sweet potatoes
7998,Ecuador,Cassava,2011,28346,2274.0,17529.44,21.78,cassava
7999,Ecuador,Cassava,2011,28346,2274.0,17529.44,17.42,cassava
8000,Ecuador,Cassava,2011,28346,2274.0,17529.44,22.11,cassava
8004,Ecuador,Plantains and others,2011,51321,2274.0,17529.44,21.78,plantains and others
8005,Ecuador,Plantains and others,2011,51321,2274.0,17529.44,17.42,plantains and others
8006,Ecuador,Plantains and others,2011,51321,2274.0,17529.44,22.11,plantains and others
8007,Ecuador,Potatoes,2011,77752,2274.0,17529.44,21.78,potatoes
8008,Ecuador,Potatoes,2011,77752,2274.0,17529.44,17.42,potatoes
8009,Ecuador,Potatoes,2011,77752,2274.0,17529.44,22.11,potatoes
8016,Ecuador,Soybeans,2011,16250,2274.0,17529.44,21.78,soybeans
8017,Ecuador,Soybeans,2011,16250,2274.0,17529.44,17.42,soybeans
8018,Ecuador,Soybeans,2011,16250,2274.0,17529.44,22.11,soybeans
8019,Ecuador,Sweet potatoes,2011,19113,2274.0,17529.44,21.78,sweet potatoes
8020,Ecuador,Sweet potatoes,2011,19113,2274.0,17529.44,17.42,sweet potatoes
8021,Ecuador,Sweet potatoes,2011,19113,2274.0,17529.44,22.11,sweet potatoes
8025,Ecuador,Cassava,2012,45419,2274.0,11469.74,21.86,cassava
8026,Ecuador,Cassava,2012,45419,2274.0,11469.74,17.46,cassava
8027,Ecuador,Cassava,2012,45419,2274.0,11469.74,22.16,cassava
8031,Ecuador,Plantains and others,2012,60942,2274.0,11469.74,21.86,plantains and others
8032,Ecuador,Plantains and others,2012,60942,2274.0,11469.74,17.46,plantains and others
8033,Ecuador,Plantains and others,2012,60942,2274.0,11469.74,22.16,plantains and others
8034,Ecuador,Potatoes,2012,83078,2274.0,11469.74,21.86,potatoes
8035,Ecuador,Potatoes,2012,83078,2274.0,11469.74,17.46,potatoes
8036,Ecuador,Potatoes,2012,83078,2274.0,11469.74,22.16,potatoes
8043,Ecuador,Soybeans,2012,16923,2274.0,11469.74,21.86,soybeans
8044,Ecuador,Soybeans,2012,16923,2274.0,11469.74,17.46,soybeans
8045,Ecuador,Soybeans,2012,16923,2274.0,11469.74,22.16,soybeans
8046,Ecuador,Sweet potatoes,2012,19575,2274.0,11469.74,21.86,sweet potatoes
8047,Ecuador,Sweet potatoes,2012,19575,2274.0,11469.74,17.46,sweet potatoes
8048,Ecuador,Sweet potatoes,2012,19575,2274.0,11469.74,22.16,sweet potatoes
8052,Ecuador,Cassava,2013,25112,2274.0,6471.77,21.69,cassava
8053,Ecuador,Cassava,2013,25112,2274.0,6471.77,17.28,cassava
8054,Ecuador,Cassava,2013,25112,2274.0,6471.77,21.94,cassava
8058,Ecuador,Plantains and others,2013,49591,2274.0,6471.77,21.69,plantains and others
8059,Ecuador,Plantains and others,2013,49591,2274.0,6471.77,17.28,plantains and others
8060,Ecuador,Plantains and others,2013,49591,2274.0,6471.77,21.94,plantains and others
8061,Ecuador,Potatoes,2013,73131,2274.0,6471.77,21.69,potatoes
8062,Ecuador,Potatoes,2013,73131,2274.0,6471.77,17.28,potatoes
8063,Ecuador,Potatoes,2013,73131,2274.0,6471.77,21.94,potatoes
8070,Ecuador,Soybeans,2013,16585,2274.0,6471.77,21.69,soybeans
8071,Ecuador,Soybeans,2013,16585,2274.0,6471.77,17.28,soybeans
8072,Ecuador,Soybeans,2013,16585,2274.0,6471.77,21.94,soybeans
8073,Ecuador,Sweet potatoes,2013,19113,2274.0,6471.77,21.69,sweet potatoes
8074,Ecuador,Sweet potatoes,2013,19113,2274.0,6471.77,17.28,sweet potatoes
8075,Ecuador,Sweet potatoes,2013,19113,2274.0,6471.77,21.94,sweet potatoes
8081,Egypt,Potatoes,1990,205592,51.0,13214.0,20.73,potatoes
8082,Egypt,Potatoes,1990,205592,51.0,13214.0,21.6,potatoes
8087,Egypt,Soybeans,1990,25773,51.0,13214.0,20.73,soybeans
8088,Egypt,Soybeans,1990,25773,51.0,13214.0,21.6,soybeans
8089,Egypt,Sweet potatoes,1990,257930,51.0,13214.0,20.73,sweet potatoes
8090,Egypt,Sweet potatoes,1990,257930,51.0,13214.0,21.6,sweet potatoes
8095,Egypt,Potatoes,1991,202345,51.0,8255.0,20.64,potatoes
8096,Egypt,Potatoes,1991,202345,51.0,8255.0,21.65,potatoes
8101,Egypt,Soybeans,1991,28366,51.0,8255.0,20.64,soybeans
8102,Egypt,Soybeans,1991,28366,51.0,8255.0,21.65,soybeans
8103,Egypt,Sweet potatoes,1991,270456,51.0,8255.0,20.64,sweet potatoes
8104,Egypt,Sweet potatoes,1991,270456,51.0,8255.0,21.65,sweet potatoes
8109,Egypt,Potatoes,1992,209071,51.0,6156.0,20.09,potatoes
8110,Egypt,Potatoes,1992,209071,51.0,6156.0,21.11,potatoes
8115,Egypt,Soybeans,1992,26981,51.0,6156.0,20.09,soybeans
8116,Egypt,Soybeans,1992,26981,51.0,6156.0,21.11,soybeans
8117,Egypt,Sweet potatoes,1992,241308,51.0,6156.0,20.09,sweet potatoes
8118,Egypt,Sweet potatoes,1992,241308,51.0,6156.0,21.11,sweet potatoes
8123,Egypt,Potatoes,1993,207792,51.0,4175.0,20.74,potatoes
8124,Egypt,Potatoes,1993,207792,51.0,4175.0,21.79,potatoes
8129,Egypt,Soybeans,1993,27534,51.0,4175.0,20.74,soybeans
8130,Egypt,Soybeans,1993,27534,51.0,4175.0,21.79,soybeans
8131,Egypt,Sweet potatoes,1993,260629,51.0,4175.0,20.74,sweet potatoes
8132,Egypt,Sweet potatoes,1993,260629,51.0,4175.0,21.79,sweet potatoes
8137,Egypt,Potatoes,1994,204487,51.0,4283.0,21.1,potatoes
8138,Egypt,Potatoes,1994,204487,51.0,4283.0,22.02,potatoes
8143,Egypt,Soybeans,1994,28828,51.0,4283.0,21.1,soybeans
8144,Egypt,Soybeans,1994,28828,51.0,4283.0,22.02,soybeans
8145,Egypt,Sweet potatoes,1994,247138,51.0,4283.0,21.1,sweet potatoes
8146,Egypt,Sweet potatoes,1994,247138,51.0,4283.0,22.02,sweet potatoes
8151,Egypt,Potatoes,1995,211244,51.0,4391.0,20.62,potatoes
8152,Egypt,Potatoes,1995,211244,51.0,4391.0,21.56,potatoes
8157,Egypt,Soybeans,1995,24344,51.0,4391.0,20.62,soybeans
8158,Egypt,Soybeans,1995,24344,51.0,4391.0,21.56,soybeans
8159,Egypt,Sweet potatoes,1995,259786,51.0,4391.0,20.62,sweet potatoes
8160,Egypt,Sweet potatoes,1995,259786,51.0,4391.0,21.56,sweet potatoes
8165,Egypt,Potatoes,1996,202048,51.0,4499.0,20.85,potatoes
8166,Egypt,Potatoes,1996,202048,51.0,4499.0,21.88,potatoes
8171,Egypt,Soybeans,1996,26103,51.0,4499.0,20.85,soybeans
8172,Egypt,Soybeans,1996,26103,51.0,4499.0,21.88,soybeans
8173,Egypt,Sweet potatoes,1996,231357,51.0,4499.0,20.85,sweet potatoes
8174,Egypt,Sweet potatoes,1996,231357,51.0,4499.0,21.88,sweet potatoes
8179,Egypt,Potatoes,1997,218355,51.0,4607.0,20.52,potatoes
8180,Egypt,Potatoes,1997,218355,51.0,4607.0,21.45,potatoes
8185,Egypt,Soybeans,1997,26223,51.0,4607.0,20.52,soybeans
8186,Egypt,Soybeans,1997,26223,51.0,4607.0,21.45,soybeans
8187,Egypt,Sweet potatoes,1997,224888,51.0,4607.0,20.52,sweet potatoes
8188,Egypt,Sweet potatoes,1997,224888,51.0,4607.0,21.45,sweet potatoes
8193,Egypt,Potatoes,1998,223302,51.0,4715.0,21.29,potatoes
8194,Egypt,Potatoes,1998,223302,51.0,4715.0,22.36,potatoes
8199,Egypt,Soybeans,1998,26207,51.0,4715.0,21.29,soybeans
8200,Egypt,Soybeans,1998,26207,51.0,4715.0,22.36,soybeans
8201,Egypt,Sweet potatoes,1998,240060,51.0,4715.0,21.29,sweet potatoes
8202,Egypt,Sweet potatoes,1998,240060,51.0,4715.0,22.36,sweet potatoes
8207,Egypt,Potatoes,1999,232915,51.0,4823.0,21.46,potatoes
8208,Egypt,Potatoes,1999,232915,51.0,4823.0,22.28,potatoes
8213,Egypt,Soybeans,1999,26367,51.0,4823.0,21.46,soybeans
8214,Egypt,Soybeans,1999,26367,51.0,4823.0,22.28,soybeans
8215,Egypt,Sweet potatoes,1999,240545,51.0,4823.0,21.46,sweet potatoes
8216,Egypt,Sweet potatoes,1999,240545,51.0,4823.0,22.28,sweet potatoes
8221,Egypt,Potatoes,2000,235931,51.0,4931.0,20.74,potatoes
8222,Egypt,Potatoes,2000,235931,51.0,4931.0,21.49,potatoes
8227,Egypt,Soybeans,2000,27199,51.0,4931.0,20.74,soybeans
8228,Egypt,Soybeans,2000,27199,51.0,4931.0,21.49,soybeans
8229,Egypt,Sweet potatoes,2000,273327,51.0,4931.0,20.74,sweet potatoes
8230,Egypt,Sweet potatoes,2000,273327,51.0,4931.0,21.49,sweet potatoes
8235,Egypt,Potatoes,2001,238739,51.0,5039.0,21.45,potatoes
8236,Egypt,Potatoes,2001,238739,51.0,5039.0,22.33,potatoes
8241,Egypt,Soybeans,2001,27922,51.0,5039.0,21.45,soybeans
8242,Egypt,Soybeans,2001,27922,51.0,5039.0,22.33,soybeans
8243,Egypt,Sweet potatoes,2001,266543,51.0,5039.0,21.45,sweet potatoes
8244,Egypt,Sweet potatoes,2001,266543,51.0,5039.0,22.33,sweet potatoes
8249,Egypt,Potatoes,2002,240382,51.0,5147.0,21.46,potatoes
8250,Egypt,Potatoes,2002,240382,51.0,5147.0,22.41,potatoes
8255,Egypt,Soybeans,2002,29904,51.0,5147.0,21.46,soybeans
8256,Egypt,Soybeans,2002,29904,51.0,5147.0,22.41,soybeans
8257,Egypt,Sweet potatoes,2002,276970,51.0,5147.0,21.46,sweet potatoes
8258,Egypt,Sweet potatoes,2002,276970,51.0,5147.0,22.41,sweet potatoes
8263,Egypt,Potatoes,2004,244443,51.0,5363.0,21.06,potatoes
8264,Egypt,Potatoes,2004,244443,51.0,5363.0,22.08,potatoes
8269,Egypt,Soybeans,2004,30266,51.0,5363.0,21.06,soybeans
8270,Egypt,Soybeans,2004,30266,51.0,5363.0,22.08,soybeans
8271,Egypt,Sweet potatoes,2004,281242,51.0,5363.0,21.06,sweet potatoes
8272,Egypt,Sweet potatoes,2004,281242,51.0,5363.0,22.08,sweet potatoes
8277,Egypt,Potatoes,2005,250826,51.0,5471.0,21.08,potatoes
8278,Egypt,Potatoes,2005,250826,51.0,5471.0,22.01,potatoes
8283,Egypt,Soybeans,2005,34000,51.0,5471.0,21.08,soybeans
8284,Egypt,Soybeans,2005,34000,51.0,5471.0,22.01,soybeans
8285,Egypt,Sweet potatoes,2005,175000,51.0,5471.0,21.08,sweet potatoes
8286,Egypt,Sweet potatoes,2005,175000,51.0,5471.0,22.01,sweet potatoes
8291,Egypt,Potatoes,2006,250085,51.0,9781.0,21.15,potatoes
8292,Egypt,Potatoes,2006,250085,51.0,9781.0,22.05,potatoes
8297,Egypt,Soybeans,2006,30817,51.0,9781.0,21.15,soybeans
8298,Egypt,Soybeans,2006,30817,51.0,9781.0,22.05,soybeans
8299,Egypt,Sweet potatoes,2006,119702,51.0,9781.0,21.15,sweet potatoes
8300,Egypt,Sweet potatoes,2006,119702,51.0,9781.0,22.05,sweet potatoes
8305,Egypt,Potatoes,2007,255717,51.0,9105.0,21.51,potatoes
8306,Egypt,Potatoes,2007,255717,51.0,9105.0,22.36,potatoes
8311,Egypt,Soybeans,2007,32880,51.0,9105.0,21.51,soybeans
8312,Egypt,Soybeans,2007,32880,51.0,9105.0,22.36,soybeans
8313,Egypt,Sweet potatoes,2007,298171,51.0,9105.0,21.51,sweet potatoes
8314,Egypt,Sweet potatoes,2007,298171,51.0,9105.0,22.36,sweet potatoes
8319,Egypt,Potatoes,2008,259390,51.0,9527.0,21.74,potatoes
8320,Egypt,Potatoes,2008,259390,51.0,9527.0,22.64,potatoes
8325,Egypt,Soybeans,2008,33601,51.0,9527.0,21.74,soybeans
8326,Egypt,Soybeans,2008,33601,51.0,9527.0,22.64,soybeans
8327,Egypt,Sweet potatoes,2008,276425,51.0,9527.0,21.74,sweet potatoes
8328,Egypt,Sweet potatoes,2008,276425,51.0,9527.0,22.64,sweet potatoes
8333,Egypt,Potatoes,2009,264241,51.0,9013.0,21.67,potatoes
8334,Egypt,Potatoes,2009,264241,51.0,9013.0,22.63,potatoes
8339,Egypt,Soybeans,2009,31252,51.0,9013.0,21.67,soybeans
8340,Egypt,Soybeans,2009,31252,51.0,9013.0,22.63,soybeans
8341,Egypt,Sweet potatoes,2009,285425,51.0,9013.0,21.67,sweet potatoes
8342,Egypt,Sweet potatoes,2009,285425,51.0,9013.0,22.63,sweet potatoes
8347,Egypt,Potatoes,2010,259211,51.0,11590.0,22.46,potatoes
8348,Egypt,Potatoes,2010,259211,51.0,11590.0,23.72,potatoes
8353,Egypt,Soybeans,2010,28453,51.0,11590.0,22.46,soybeans
8354,Egypt,Soybeans,2010,28453,51.0,11590.0,23.72,soybeans
8355,Egypt,Sweet potatoes,2010,306078,51.0,11590.0,22.46,sweet potatoes
8356,Egypt,Sweet potatoes,2010,306078,51.0,11590.0,23.72,sweet potatoes
8361,Egypt,Potatoes,2011,264311,51.0,12945.0,21.18,potatoes
8362,Egypt,Potatoes,2011,264311,51.0,12945.0,21.99,potatoes
8367,Egypt,Soybeans,2011,31195,51.0,12945.0,21.18,soybeans
8368,Egypt,Soybeans,2011,31195,51.0,12945.0,21.99,soybeans
8369,Egypt,Sweet potatoes,2011,318249,51.0,12945.0,21.18,sweet potatoes
8370,Egypt,Sweet potatoes,2011,318249,51.0,12945.0,21.99,sweet potatoes
8375,Egypt,Potatoes,2012,268531,51.0,13991.0,21.55,potatoes
8376,Egypt,Potatoes,2012,268531,51.0,13991.0,22.48,potatoes
8381,Egypt,Soybeans,2012,36186,51.0,13991.0,21.55,soybeans
8382,Egypt,Soybeans,2012,36186,51.0,13991.0,22.48,soybeans
8383,Egypt,Sweet potatoes,2012,323485,51.0,13991.0,21.55,sweet potatoes
8384,Egypt,Sweet potatoes,2012,323485,51.0,13991.0,22.48,sweet potatoes
8389,Egypt,Potatoes,2013,266276,51.0,13653.0,21.44,potatoes
8390,Egypt,Potatoes,2013,266276,51.0,13653.0,22.91,potatoes
8395,Egypt,Soybeans,2013,34767,51.0,13653.0,21.44,soybeans
8396,Egypt,Soybeans,2013,34767,51.0,13653.0,22.91,soybeans
8397,Egypt,Sweet potatoes,2013,336781,51.0,13653.0,21.44,sweet potatoes
8398,Egypt,Sweet potatoes,2013,336781,51.0,13653.0,22.91,sweet potatoes
8401,El Salvador,Cassava,1990,158889,1784.0,2524.0,26.06,cassava
8403,El Salvador,Plantains and others,1990,111714,1784.0,2524.0,26.06,plantains and others
8404,El Salvador,Potatoes,1990,140000,1784.0,2524.0,26.06,potatoes
8407,El Salvador,Soybeans,1990,20000,1784.0,2524.0,26.06,soybeans
8408,El Salvador,Sweet potatoes,1990,64286,1784.0,2524.0,26.06,sweet potatoes
8409,El Salvador,Cassava,1991,152762,1784.0,4096.0,26.08,cassava
8411,El Salvador,Plantains and others,1991,111786,1784.0,4096.0,26.08,plantains and others
8412,El Salvador,Potatoes,1991,144231,1784.0,4096.0,26.08,potatoes
8415,El Salvador,Soybeans,1991,20000,1784.0,4096.0,26.08,soybeans
8416,El Salvador,Sweet potatoes,1991,62941,1784.0,4096.0,26.08,sweet potatoes
8417,El Salvador,Cassava,1992,172692,1784.0,3940.77,26.22,cassava
8419,El Salvador,Plantains and others,1992,109740,1784.0,3940.77,26.22,plantains and others
8420,El Salvador,Potatoes,1992,144444,1784.0,3940.77,26.22,potatoes
8423,El Salvador,Soybeans,1992,26857,1784.0,3940.77,26.22,soybeans
8424,El Salvador,Sweet potatoes,1992,61333,1784.0,3940.77,26.22,sweet potatoes
8425,El Salvador,Cassava,1993,200000,1784.0,3785.54,26.12,cassava
8427,El Salvador,Plantains and others,1993,106557,1784.0,3785.54,26.12,plantains and others
8428,El Salvador,Potatoes,1993,141509,1784.0,3785.54,26.12,potatoes
8431,El Salvador,Soybeans,1993,27143,1784.0,3785.54,26.12,soybeans
8432,El Salvador,Sweet potatoes,1993,64000,1784.0,3785.54,26.12,sweet potatoes
8433,El Salvador,Cassava,1994,201298,1784.0,3630.31,26.33,cassava
8435,El Salvador,Plantains and others,1994,97402,1784.0,3630.31,26.33,plantains and others
8436,El Salvador,Potatoes,1994,140741,1784.0,3630.31,26.33,potatoes
8439,El Salvador,Soybeans,1994,25000,1784.0,3630.31,26.33,soybeans
8440,El Salvador,Sweet potatoes,1994,61250,1784.0,3630.31,26.33,sweet potatoes
8441,El Salvador,Cassava,1995,160232,1784.0,3475.08,26.05,cassava
8443,El Salvador,Plantains and others,1995,119791,1784.0,3475.08,26.05,plantains and others
8444,El Salvador,Potatoes,1995,140000,1784.0,3475.08,26.05,potatoes
8447,El Salvador,Soybeans,1995,23333,1784.0,3475.08,26.05,soybeans
8448,El Salvador,Sweet potatoes,1995,62500,1784.0,3475.08,26.05,sweet potatoes
8449,El Salvador,Cassava,1996,158831,1784.0,3319.85,25.77,cassava
8451,El Salvador,Plantains and others,1996,64137,1784.0,3319.85,25.77,plantains and others
8452,El Salvador,Potatoes,1996,157368,1784.0,3319.85,25.77,potatoes
8455,El Salvador,Soybeans,1996,23333,1784.0,3319.85,25.77,soybeans
8456,El Salvador,Sweet potatoes,1996,62845,1784.0,3319.85,25.77,sweet potatoes
8457,El Salvador,Cassava,1997,131429,1784.0,3164.62,26.48,cassava
8459,El Salvador,Plantains and others,1997,126495,1784.0,3164.62,26.48,plantains and others
8460,El Salvador,Potatoes,1997,139286,1784.0,3164.62,26.48,potatoes
8463,El Salvador,Soybeans,1997,24444,1784.0,3164.62,26.48,soybeans
8464,El Salvador,Sweet potatoes,1997,62976,1784.0,3164.62,26.48,sweet potatoes
8465,El Salvador,Cassava,1998,131429,1784.0,3009.39,26.48,cassava
8467,El Salvador,Plantains and others,1998,147857,1784.0,3009.39,26.48,plantains and others
8468,El Salvador,Potatoes,1998,215536,1784.0,3009.39,26.48,potatoes
8471,El Salvador,Soybeans,1998,24000,1784.0,3009.39,26.48,soybeans
8472,El Salvador,Sweet potatoes,1998,64706,1784.0,3009.39,26.48,sweet potatoes
8473,El Salvador,Cassava,1999,124202,1784.0,2854.16,25.67,cassava
8475,El Salvador,Plantains and others,1999,134056,1784.0,2854.16,25.67,plantains and others
8476,El Salvador,Potatoes,1999,210286,1784.0,2854.16,25.67,potatoes
8479,El Salvador,Soybeans,1999,24000,1784.0,2854.16,25.67,soybeans
8480,El Salvador,Sweet potatoes,1999,63112,1784.0,2854.16,25.67,sweet potatoes
8481,El Salvador,Cassava,2000,123479,1784.0,2698.93,25.78,cassava
8483,El Salvador,Plantains and others,2000,312986,1784.0,2698.93,25.78,plantains and others
8484,El Salvador,Potatoes,2000,231200,1784.0,2698.93,25.78,potatoes
8487,El Salvador,Soybeans,2000,22727,1784.0,2698.93,25.78,soybeans
8488,El Salvador,Sweet potatoes,2000,63105,1784.0,2698.93,25.78,sweet potatoes
8489,El Salvador,Cassava,2001,124794,1784.0,2543.7,25.92,cassava
